dist,,region,reg_prop,2020_pop,pop_pct,2025_pop,2030_pop,2035_pop,2040_pop,2045_pop,2050_pop,2055_pop,2060_pop,2065_pop,2070_pop,2075_pop,2080_pop,2085_pop,2090_pop,2095_pop,2100_pop,current_urban_pix,total_pix,gdd,2050_urbpix
Juaben,"'Juaben',",OTI,Oti,59915,0.19,67336,75060,80104,88261,93081,101093,105032,112474,115425,122307,124336,130552,131480,136746,136515,140965,10656,387412,7.3,
Juaboso,"'Juaboso',",UPPER WEST,Upper West,77963,0.25,88600,97670,105400,114847,122475,131545,138200,146354,151875,159149,163600,169878,173000,177937,179625,183428,12135,1520021,6.1,
Kadjebi,"'Kadjebi',",WESTERN,Western,74386,0.24,85056,93189,101184,109578,117576,125510,132672,139640,145800,151847,157056,162084,166080,169773,172440,175012,8157,768632,,
Karaga (Karaga),"'Karaga (Karaga)',",ASHANTI,Ashanti,98046,0.32,113408,122830,134912,144431,156768,165431,176896,184055,194400,200145,209408,213638,221440,223773,229920,230678,8943,3470989,,
Kasena Nankana,"'Kasena Nankana',",WESTERN NORTH,Western North,136875,0.44,155936,171474,185504,201630,215556,230946,243232,256946,267300,279408,287936,298245,304480,312394,316140,322033,13552,852967,,
Kasena Nankana West,"'Kasena Nankana West',",OTI,Oti,87987,0.28,99232,110228,118048,129613,137172,148458,154784,165172,170100,179611,183232,191720,193760,200815,201180,207012,7096,970305,,
Keta,"'Keta',",NORTHERN,Northern,81810,0.26,92144,102490,109616,120514,127374,138036,143728,153576,157950,167002,170144,178260,179920,186717,186810,192479,17398,399880,,
Ketu North,"'Ketu North',",UPPER EAST,Upper East,125956,0.41,145304,157795,172856,185545,200859,212523,226648,236448,249075,257119,268304,274452,283720,287473,294585,296344,21753,472387,9.3,
Ketu South,"'Ketu South',",UPPER EAST,Upper East,202734,0.65,230360,253981,274040,298647,318435,342068,359320,380578,394875,413848,425360,441748,449800,462706,467025,476983,47702,310299,2.5,
Kintampo North,"'Kintampo North',",VOLTA,Volta,119762,0.39,138216,150035,164424,176421,191061,202072,215592,224821,236925,244475,255216,260956,269880,273336,280215,281771,17653,5431939,5.7,
Kintampo South,"'Kintampo South',",VOLTA,Volta,101494,0.33,116952,127149,139128,149510,161667,171248,182424,190527,200475,207183,215952,221151,228360,231643,237105,238791,13394,1681351,12.8,
Komenda Edina Eguafo Abirem,"'Komenda Edina Eguafo Abirem',",VOLTA,Volta,171278,0.55,194920,214573,231880,252309,269445,288993,304040,321528,334125,349636,359920,373207,380600,390913,395175,402975,24413,502922,,
Korle Klottey,"'Korle Klottey',",BONO EAST,Bono East,153452,0.5,177200,192241,210800,226050,244950,258916,276400,288065,303750,313247,327200,334365,346000,350228,359250,361035,12857,13289,,
Kpandai,"'Kpandai',",BONO EAST,Bono East,137249,0.44,155936,171943,185504,202181,215556,231577,243232,257648,267300,280171,287936,299059,304480,313248,316140,322913,9939,1261277,13.8,
Kpando,"'Kpando',",CENTRAL,Central,67831,0.22,77968,84977,92752,99922,107778,114450,121616,127334,133650,138466,143968,147801,152240,154813,158070,159590,13456,349850,5,
Kpone Katamanso,"'Kpone Katamanso',",GREATER ACCRA,Greater Accra,138529,0.45,159480,173546,189720,204067,220455,233737,248760,260051,273375,282784,294480,301849,311400,316169,323325,325925,82926,267058,,
Krachi East,"'Krachi East',",NORTHERN,Northern,146402,0.47,166568,183409,198152,215664,230253,247021,259816,274830,285525,298856,307568,319003,325240,334138,337695,344448,13374,3073226,10.9,
Krachi Nchumuru,"'Krachi Nchumuru',",VOLTA,Volta,91179,0.29,102776,114227,122264,134315,142071,153844,160312,171164,176175,186127,189776,198675,200680,208101,208365,214522,10096,1330252,9,
Krachi West,"'Krachi West',",GREATER ACCRA,Greater Accra,61960,0.2,70880,77622,84320,91273,97980,104544,110560,116313,121500,126481,130880,135008,138400,141413,143700,145777,9698,1033641,6.4,
Krowor,"'Krowor',",OTI,Oti,128675,0.42,148848,161201,177072,189551,205758,217110,232176,241552,255150,262669,274848,280377,290640,293679,301770,302741,18284,18905,7,
Kumbungu,"'Kumbungu',",OTI,Oti,49626,0.16,56704,62170,67456,73104,78384,83733,88448,93159,97200,101303,104704,108133,110720,113263,114960,116758,14871,1713702,9.6,
Kwabre East,"'Kwabre East',",OTI,Oti,143180,0.46,163024,179373,193936,210918,225354,241584,254288,268782,279450,292279,301024,311983,318320,326784,330510,336867,50522,136663,6.2,
Kwadaso,"'Kwadaso',",GREATER ACCRA,Greater Accra,311242,1.01,357944,389917,425816,458490,494799,525151,558328,584272,613575,635350,660944,678182,698920,710357,725685,732276,28521,36930,5,
Kwaebibirem,"'Kwaebibirem',",ASHANTI,Ashanti,143336,0.46,163024,179568,193936,211148,225354,241848,254288,269074,279450,292597,301024,312323,318320,327140,330510,337234,22358,893682,5.8,
Kwahu Afram Plains North,"'Kwahu Afram Plains North',",NORTHERN,Northern,129135,0.42,148848,161778,177072,190228,205758,217887,232176,242416,255150,263608,274848,281379,290640,294729,301770,303823,12054,2606921,12.1,
Kwahu Afram Plains South,"'Kwahu Afram Plains South',",ASHANTI,Ashanti,146026,0.47,166568,182938,198152,215110,230253,246386,259816,274124,285525,298088,307568,318184,325240,333280,337695,343563,10258,3444564,9.5,
Kwahu East,"'Kwahu East',",ASHANTI,Ashanti,97208,0.31,109864,121780,130696,143197,151869,164017,171368,182482,188325,198434,202864,211812,214520,221861,222735,228707,16632,693342,5.3,
Kwahu South,"'Kwahu South',",EASTERN,Eastern,87912,0.28,99232,110134,118048,129503,137172,148332,154784,165031,170100,179458,183232,191556,193760,200644,201180,206835,18762,885411,6.3,
Kwahu West,"'Kwahu West',",EASTERN,Eastern,117945,0.38,134672,147759,160208,173744,186162,199006,210064,221410,230850,240766,248672,256997,262960,269189,273030,277496,26637,445955,8.7,
La Dade-Kotopon,"'La Dade-Kotopon',",EASTERN,Eastern,231306,0.75,265800,289775,316200,340736,367425,390277,414600,434214,455625,472174,490800,504005,519000,527917,538875,544206,29414,40109,,
La Nkwantanang Madina,"'La Nkwantanang Madina',",EASTERN,Eastern,141124,0.46,163024,176797,193936,207889,225354,238115,254288,264922,279450,288082,301024,307503,318320,322092,330510,332030,48451,78929,,
Lambussie Karni,"'Lambussie Karni',",EASTERN,Eastern,63889,0.21,74424,80039,88536,94115,102879,107798,116088,119934,127575,130419,137424,139211,145320,145816,150885,150315,7466,901199,,
Lawra,"'Lawra',",EASTERN,Eastern,67886,0.22,77968,85046,92752,100003,107778,114542,121616,127438,133650,138578,143968,147921,152240,154938,158070,159719,10198,585209,15.6,
Ledzokuku,"'Ledzokuku',",GREATER ACCRA,Greater Accra,158659,0.51,180744,198765,215016,233720,249849,267702,281928,297839,309825,323877,333744,345711,352920,362112,366435,373286,31660,34065,,
Lower Manya Krobo,"'Lower Manya Krobo',",GREATER ACCRA,Greater Accra,112464,0.36,127584,140892,151776,165670,176364,189758,199008,211121,218700,229577,235584,245054,249120,256680,258660,264600,17379,338887,6.3,
Mampong,"'Mampong',",UPPER WEST,Upper West,109125,0.35,124040,136709,147560,160752,171465,184124,193480,204853,212625,222761,229040,237778,242200,249059,251475,256744,16144,744918,,
Mamprugu Moagduri,"'Mamprugu Moagduri',",UPPER WEST,Upper West,59378,0.19,67336,74387,80104,87470,93081,100187,105032,111466,115425,121211,124336,129382,131480,135520,136515,139702,5664,2358054,,
Mfantsiman,"'Mfantsiman',",GREATER ACCRA,Greater Accra,170509,0.55,194920,213610,231880,251176,269445,287696,304040,320084,334125,348066,359920,371531,380600,389158,395175,401166,26373,334329,3.9,
Mion,"'Mion',",EASTERN,Eastern,103202,0.33,116952,129289,139128,152027,161667,174130,182424,193734,200475,210670,215952,224873,228360,235541,237105,242809,7636,3020978,7.5,
Mpohor,"'Mpohor',",ASHANTI,Ashanti,57103,0.18,63792,71537,75888,84118,88182,96349,99504,107195,109350,116566,117792,124425,124560,130328,129330,134349,4802,582662,8.8,
Nabdam,"'Nabdam',",NORTH EAST,North East,42126,0.14,49616,52775,59024,62056,68586,71078,77392,79080,85050,85993,91616,91791,96880,96145,100590,99112,1482,272512,,
Nadowli Kaleo,"'Nadowli Kaleo',",CENTRAL,Central,76114,0.25,88600,95354,105400,112123,122475,128425,138200,142883,151875,155374,163600,165849,173000,173717,179625,179078,18004,1256445,,
Nandom,"'Nandom',",NORTHERN,Northern,56947,0.18,63792,71342,75888,83888,88182,96085,99504,106903,109350,116248,117792,124085,124560,129972,129330,133982,7999,448984,7.3,
Nanton,"'Nanton',",WESTERN,Western,58754,0.19,67336,73606,80104,86550,93081,99134,105032,110295,115425,119937,124336,128022,131480,134096,136515,138234,6133,621894,29.1,
Nanumba North,"'Nanumba North',",UPPER EAST,Upper East,178608,0.58,205552,223756,244528,263107,284142,301361,320624,335288,352350,364599,379552,389179,401360,407642,416730,420221,18819,2516834,6.3,
Nanumba South,"'Nanumba South',",UPPER WEST,Upper West,117895,0.38,134672,147696,160208,173671,186162,198922,210064,221316,230850,240663,248672,256888,262960,269075,273030,277378,12923,1992252,5.7,
New Juaben North,"'New Juaben North',",UPPER WEST,Upper West,74025,0.24,85056,92737,101184,109046,117576,124901,132672,138962,145800,151110,157056,161297,166080,168950,172440,174163,14950,117389,10.5,
New Juaben South,"'New Juaben South',",NORTHERN,Northern,157534,0.51,180744,197355,215016,232063,249849,265804,281928,295727,309825,321580,333744,343260,352920,359545,366435,370639,31352,60355,2.9,
Ningo Prampram,"'Ningo Prampram',",NORTHERN,Northern,89387,0.29,102776,111982,122264,131676,142071,150821,160312,167800,176175,182469,189776,194770,200680,204011,208365,210306,47211,692930,,
Nkoranza North,"'Nkoranza North',",NORTHERN,Northern,82622,0.27,95688,103507,113832,121710,132273,139406,149256,155100,164025,168659,176688,180030,186840,188571,193995,194389,8910,1540919,14.2,
Nkoranza South,"'Nkoranza South',",EASTERN,Eastern,126593,0.41,145304,158593,172856,186484,200859,213597,226648,237644,249075,258419,268304,275840,283720,288927,294585,297842,19384,1025232,4.2,
Nkwanta North,"'Nkwanta North',",EASTERN,Eastern,80987,0.26,92144,101459,109616,119302,127374,136648,143728,152031,157950,165322,170144,176467,179920,184839,186810,190543,10081,1223938,14.7,
Nkwanta South,"'Nkwanta South',",GREATER ACCRA,Greater Accra,147927,0.48,170112,185320,202368,217911,235152,249594,265344,277693,291600,301969,314112,322326,332160,337618,344880,348036,15846,3044674,3.2,
North Dayi,"'North Dayi',",BONO EAST,Bono East,50321,0.16,56704,63041,67456,74128,78384,84905,88448,94464,97200,102722,104704,109647,110720,114849,114960,118393,8257,515405,,
North East Gonja,"'North East Gonja',",BONO EAST,Bono East,37681,0.12,42528,47206,50592,55508,58788,63578,66336,70736,72900,76920,78528,82105,83040,86000,86220,88654,3384,3260180,,
North Gonja,"'North Gonja',",OTI,Oti,55169,0.18,63792,69115,75888,81269,88182,93085,99504,103565,109350,112619,117792,120211,124560,125914,129330,129799,5875,5385018,19.3,
North Tongu,"'North Tongu',",OTI,Oti,113245,0.37,131128,141871,155992,166821,181263,191076,204536,212587,224775,231171,242128,246756,256040,258463,265845,266438,20079,1260458,5.4,
Nsawam Adoagyiri,"'Nsawam Adoagyiri',",VOLTA,Volta,108400,0.35,124040,135801,147560,159684,171465,182901,193480,203492,212625,221281,229040,236199,242200,247405,251475,255039,19883,194742,4.1,
Nzema East,"'Nzema East',",SAVANNAH,Savannah,80933,0.26,92144,101391,109616,119222,127374,136556,143728,151930,157950,165212,170144,176349,179920,184716,186810,190416,8964,1202575,10.5,
Obuasi East,"'Obuasi East',",VOLTA,Volta,94182,0.3,106320,117989,126480,138739,146970,158911,165840,176801,182250,192257,196320,205218,207600,214954,215550,221587,21352,107820,4.5,
Offinso,"'Offinso',",EASTERN,Eastern,95292,0.31,109864,119380,130696,140374,151869,160784,171368,178885,188325,194523,202864,207637,214520,217488,222735,224199,18658,650748,3.8,
Offinso North,"'Offinso North',",SAVANNAH,Savannah,70522,0.23,81512,88348,96968,103886,112677,118990,127144,132386,139725,143959,150512,153664,159160,160955,165255,165921,9744,1050814,,
Oforikrom,"'Oforikrom',",WESTERN,Western,375651,1.21,428824,470607,510136,553370,592779,633827,668888,705183,735075,766830,791824,818527,837320,857360,869385,883815,37471,51187,,
Okaikoi North,"'Okaikoi North',",ASHANTI,Ashanti,287820,0.93,329592,360575,392088,423987,455607,485632,514104,540304,564975,587538,608592,627147,643560,656900,668205,677170,27964,30371,,
Okere,"'Okere',",ASHANTI,Ashanti,76512,0.25,88600,95853,105400,112710,122475,129097,138200,143631,151875,156187,163600,166716,173000,174626,179625,180014,8711,341385,20.8,
Old Tafo,"'Old Tafo',",ASHANTI,Ashanti,180928,0.58,205552,226663,244528,266524,284142,305276,320624,339643,352350,369335,379552,394234,401360,412937,416730,425679,10587,10616,,
Prestea/Huni Valley,"'Prestea/Huni Valley',",ASHANTI,Ashanti,211918,0.68,240992,265486,286688,312176,333132,357564,375904,397819,413100,432596,444992,461760,470560,483667,488580,498591,29270,2009622,,
Pru East,"'Pru East',",ASHANTI,Ashanti,91278,0.29,102776,114351,122264,134461,142071,154011,160312,171350,176175,186329,189776,198891,200680,208327,208365,214755,12278,1655521,5.8,
Pru West,"'Pru West',",GREATER ACCRA,Greater Accra,70746,0.23,81512,88629,96968,104216,112677,119368,127144,132806,139725,144416,150512,154152,159160,161466,165255,166448,5869,1925877,12.2,
Pusiga,"'Pusiga',",EASTERN,Eastern,71779,0.23,81512,89923,96968,105737,112677,121111,127144,134746,139725,146525,150512,156403,159160,163823,165255,168878,5649,284702,14.7,
Saboba,"'Saboba',",ASHANTI,Ashanti,82891,0.27,95688,103844,113832,122106,132273,139860,149256,155605,164025,169208,176688,180616,186840,189185,193995,195022,6912,1950115,27,
Sagnarigu,"'Sagnarigu',",WESTERN,Western,186796,0.6,212640,234014,252960,275169,293940,315177,331680,350659,364500,381314,392640,407020,415200,426330,431100,439485,48506,222954,,
Savelugu,"'Savelugu',",BONO EAST,Bono East,116975,0.38,134672,146544,160208,172315,186162,197369,210064,219589,230850,238785,248672,254883,262960,266976,273030,275214,14976,1627913,,
Sawla Tuna Kalba,"'Sawla Tuna Kalba',",BONO EAST,Bono East,126569,0.41,145304,158563,172856,186448,200859,213557,226648,237599,249075,258370,268304,275788,283720,288872,294585,297786,15243,4693092,,
Sefwi Akontombra,"'Sefwi Akontombra',",UPPER EAST,Upper East,109868,0.35,124040,137640,147560,161846,171465,185378,193480,206247,212625,224278,229040,239397,242200,250755,251475,258492,7719,1243010,,
Sefwi Wiawso,"'Sefwi Wiawso',",NORTHERN,Northern,185826,0.6,212640,232799,252960,273740,293940,313540,331680,348838,364500,379334,392640,404907,415200,424116,431100,437203,23519,1122830,,
Sekyere Afram Plains,"'Sekyere Afram Plains',",NORTHERN,Northern,35416,0.11,38984,44368,46376,52171,53889,59757,60808,66484,66825,72296,71984,77170,76120,80831,79035,83325,3610,3921412,21.3,
Sekyere Central,"'Sekyere Central',",NORTHERN,Northern,88307,0.29,102776,110629,122264,130085,142071,148998,160312,165772,176175,180264,189776,192417,200680,201546,208365,207765,10092,1813570,8,
Sekyere East,"'Sekyere East',",SAVANNAH,Savannah,77030,0.25,88600,96502,105400,113473,122475,129971,138200,144603,151875,157244,163600,167845,173000,175808,179625,181233,13321,265823,8.7,
Sekyere Kumawu,"'Sekyere Kumawu',",WESTERN NORTH,Western North,81029,0.26,92144,101511,109616,119364,127374,136718,143728,152110,157950,165408,170144,176559,179920,184935,186810,190641,9329,641033,8.2,
Sekyere South,"'Sekyere South',",WESTERN NORTH,Western North,116477,0.38,134672,145920,160208,171582,186162,196529,210064,218654,230850,237769,248672,253798,262960,265839,273030,274042,15892,463234,4.6,
Sene East,"'Sene East',",WESTERN,Western,76506,0.25,88600,95845,105400,112701,122475,129087,138200,143619,151875,156175,163600,166703,173000,174612,179625,180000,10047,4889572,,
Sene West,"'Sene West',",ASHANTI,Ashanti,72383,0.23,81512,90680,96968,106627,112677,122130,127144,135879,139725,147758,150512,157719,159160,165202,165255,170299,10947,3629528,10,
Shai Osudoku,"'Shai Osudoku',",ASHANTI,Ashanti,65461,0.21,74424,82008,88536,96430,102879,110451,116088,122885,127575,133628,137424,142637,145320,149404,150885,154014,15534,1078397,,
Shama,"'Shama',",ASHANTI,Ashanti,109087,0.35,124040,136662,147560,160696,171465,184060,193480,204781,212625,222683,229040,237696,242200,248973,251475,256655,15559,215245,3.9,
Sissala East,"'Sissala East',",ASHANTI,Ashanti,69923,0.23,81512,87598,96968,103003,112677,117979,127144,131261,139725,142736,150512,152359,159160,159587,165255,164512,14540,5658170,4,
Sissala West,"'Sissala West',",ASHANTI,Ashanti,61322,0.2,70880,76823,84320,90333,97980,103467,110560,115115,121500,125179,130880,133618,138400,139957,143700,144276,11568,2276707,9.6,
South Dayi,"'South Dayi',",BONO EAST,Bono East,58863,0.19,67336,73742,80104,86711,93081,99318,105032,110499,115425,120159,124336,128260,131480,134345,136515,138490,9427,399009,2.9,
South Tongu,"'South Tongu',",BONO EAST,Bono East,110777,0.36,127584,138779,151776,163185,176364,186911,199008,207954,218700,226133,235584,241378,249120,252830,258660,260631,25269,717147,7.9,
Suaman,"'Suaman',",GREATER ACCRA,Greater Accra,27370,0.09,31896,34289,37944,40319,44091,46181,49752,51380,54675,55871,58896,59638,62280,62467,64665,64395,3726,443912,30.6,
Suame,"'Suame',",WESTERN,Western,199706,0.65,230360,250187,274040,294186,318435,336959,359320,374894,394875,407667,425360,435150,449800,455795,467025,469859,18664,18822,8.4,
Suhum,"'Suhum',",UPPER WEST,Upper West,113885,0.37,131128,142673,155992,167764,181263,192156,204536,213788,224775,232478,242128,248150,256040,259923,265845,267943,16033,399522,6.7,
Sunyani,"'Sunyani',",UPPER WEST,Upper West,156186,0.5,177200,195666,210800,230077,244950,263529,276400,293197,303750,318828,327200,340322,346000,356468,359250,367467,51942,562564,2.1,
Sunyani West,"'Sunyani West',",VOLTA,Volta,108031,0.35,124040,135339,147560,159140,171465,182278,193480,202799,212625,220528,229040,235395,242200,246562,251475,254170,29650,1176210,3.4,
Tain,"'Tain',",VOLTA,Volta,111650,0.36,127584,139873,151776,164471,176364,188384,199008,209593,218700,227915,235584,243280,249120,254822,258660,262685,17820,2031571,5.7,
Talensi,"'Talensi',",WESTERN NORTH,Western North,101132,0.33,116952,126696,139128,148977,161667,170638,182424,189848,200475,206445,215952,220362,228360,230817,237105,237939,6929,932645,14.3,
Tano North,"'Tano North',",ASHANTI,Ashanti,101305,0.33,116952,126913,139128,149232,161667,170930,182424,190173,200475,206798,215952,220739,228360,231211,237105,238346,17636,929985,,
Tano South,"'Tano South',",EASTERN,Eastern,98994,0.32,113408,124018,134912,145828,156768,167030,176896,185834,194400,202080,209408,215704,221440,225937,229920,232909,12710,543203,14.6,
Tarkwa-Nsuaem,"'Tarkwa-Nsuaem',",BONO,Bono,120344,0.39,138216,150764,164424,177278,191061,203054,215592,225913,236925,245663,255216,262224,269880,274665,280215,283140,28239,1005448,2.6,
Tatale Sanguli,"'Tatale Sanguli',",BONO,Bono,75738,0.24,85056,94883,101184,111569,117576,127791,132672,142178,145800,154607,157056,165030,166080,172859,172440,178193,10536,1214715,,
Techiman,"'Techiman',",BONO,Bono,185450,0.6,212640,232328,252960,273186,293940,312906,331680,348132,364500,378566,392640,404087,415200,423258,431100,436318,39719,720972,2.2,
Techiman North,"'Techiman North',",UPPER EAST,Upper East,74113,0.24,85056,92847,101184,109176,117576,125049,132672,139127,145800,151290,157056,161489,166080,169150,172440,174370,13798,432573,6.7,
Tema West,"'Tema West',",NORTHERN,Northern,156134,0.5,177200,195601,210800,230000,244950,263441,276400,293099,303750,318722,327200,340209,346000,356349,359250,367345,47049,66683,1.4,
Tempane,"'Tempane',",AHAFO,Ahafo,89155,0.29,102776,111691,122264,131334,142071,150429,160312,167364,176175,181995,189776,194265,200680,203481,208365,209760,5781,471977,,
Tolon,"'Tolon',",AHAFO,Ahafo,92072,0.3,106320,115346,126480,135631,146970,155351,165840,172840,182250,187950,196320,200621,207600,210139,215550,216623,15902,1504993,4.5,
Twifo Ati Morkwa,"'Twifo Ati Morkwa',",WESTERN,Western,73119,0.24,85056,91602,101184,107711,117576,123372,132672,137261,145800,149261,157056,159323,166080,166882,172440,172031,11945,1061684,7.6,
Twifo Heman Lower Denkyira,"'Twifo Heman Lower Denkyira',",NORTHERN,Northern,65316,0.21,74424,81826,88536,96217,102879,110206,116088,122613,127575,133332,137424,142321,145320,149073,150885,153673,8926,639631,12.3,
Upper Denkyira East,"'Upper Denkyira East',",BONO EAST,Bono East,86233,0.28,99232,108031,118048,127030,137172,145499,154784,161879,170100,176031,183232,187898,193760,196812,201180,202885,15456,557734,8.6,
Upper Denkyira West,"'Upper Denkyira West',",BONO EAST,Bono East,71174,0.23,81512,89165,96968,104846,112677,120090,127144,133610,139725,145290,150512,155085,159160,162443,165255,167455,17693,643333,5,
Upper Manya Krobo,"'Upper Manya Krobo',",GREATER ACCRA,Greater Accra,90877,0.29,102776,113849,122264,133871,142071,153335,160312,170597,176175,185511,189776,198017,200680,207411,208365,213811,6086,956437,16.5,
Upper West Akim,"'Upper West Akim',",GREATER WEST METAPOLIS,Greater West Metapolis,109722,0.35,124040,137457,147560,161631,171465,185131,193480,205973,212625,223980,229040,239079,242200,250422,251475,258149,9339,380870,11.9,
Wa,"'Wa',",NORTHERN,Northern,132646,0.43,152392,166176,181288,195400,210657,223811,237704,249007,261225,270775,281392,289030,297560,302742,308955,312084,38494,643657,3.2,
Wa East,"'Wa East',",UPPER EAST,Upper East,89194,0.29,102776,111740,122264,131391,142071,150495,160312,167438,176175,182075,189776,194350,200680,203570,208365,209852,10257,4772828,10.5,
Wa West,"'Wa West',",CENTRAL,Central,100644,0.33,116952,126085,139128,148258,161667,169814,182424,188932,200475,205448,215952,219299,228360,229703,237105,236791,12782,1655992,18.9,
Wassa Amenfi East,"'Wassa Amenfi East',",CENTRAL,Central,111036,0.36,127584,139103,151776,163567,176364,187348,199008,208440,218700,226662,235584,241942,249120,253421,258660,261240,22520,1730456,10.7,
Wassa Amenfi West,"'Wassa Amenfi West',",CENTRAL,Central,122573,0.4,141760,153557,168640,180562,195960,206815,221120,230098,243000,250213,261760,267081,276800,279752,287400,288384,17761,1608095,6.4,
Wassa East,"'Wassa East',",CENTRAL,Central,107849,0.35,124040,135111,147560,158872,171465,181971,193480,202457,212625,220156,229040,234998,242200,246147,251475,253742,10527,1835730,13,
Weija Gbawe,"'Weija Gbawe',",EASTERN,Eastern,241629,0.78,276432,302708,328848,355943,382122,407695,431184,453593,473850,493246,510432,526499,539760,551477,560430,568494,38553,66383,1.4,
Wenchi,"'Wenchi',",EASTERN,Eastern,113712,0.37,131128,142456,155992,167509,181263,191864,204536,213463,224775,232125,242128,247773,256040,259528,265845,267536,21368,1271647,7.2,
West Akim,"'West Akim',",UPPER WEST,Upper West,136492,0.44,155936,170994,185504,201066,215556,230300,243232,256227,267300,278626,287936,297410,304480,311520,316140,321132,13447,528476,11,
West Gonja,"'West Gonja',",UPPER WEST,Upper West,52160,0.17,60248,65345,71672,76837,83283,88008,93976,97916,103275,106476,111248,113654,117640,119046,122145,122720,9367,5239308,11.8,
West Mamprusi,"'West Mamprusi',",UPPER WEST,Upper West,153361,0.5,177200,192127,210800,225916,244950,258762,276400,287894,303750,313061,327200,334167,346000,350020,359250,360821,21351,2903540,3.1,
Yendi,"'Yendi',",WESTERN,Western,148567,0.48,170112,186121,202368,218854,235152,250674,265344,278894,291600,303275,314112,323721,332160,339079,344880,349542,16100,1610511,5,
Yilo Krobo,"'Yilo Krobo',",WESTERN,Western,110715,0.36,127584,138701,151776,163094,176364,186807,199008,207837,218700,226007,235584,241243,249120,252688,258660,260485,18205,538158,0,
Yunyoo Nasuan,"'Yunyoo Nasuan',",WESTERN,Western,66862,0.22,77968,83763,92752,98494,107778,112815,121616,125515,133650,136488,143968,145689,152240,152601,158070,157310,1437,799394,,
Zabzugu,"'Zabzugu',",GREATER ACCRA,Greater Accra,80507,0.26,92144,100857,109616,118595,127374,135838,143728,151130,157950,164342,170144,175421,179920,183744,186810,189413,9364,1225345,0,
,"'',",EASTERN,Eastern,,,,,,,,,,,,,,,,,,,,,,
,"'',",NORTH EAST,North East,,,,,,,,,,,,,,,,,,,,,,
,"'',",NORTH EAST,North East,,,,,,,,,,,,,,,,,,,,,,
,"'',",NORTHERN,Northern,,,,,,,,,,,,,,,,,,,,,,
,"'',",NORTHERN,Northern,,,,,,,,,,,,,,,,,,,,,,
,"'',",SAVANNAH,Savannah,,,,,,,,,,,,,,,,,,,,,,
TEST,TEST,,,94182,0.3,,117989,,138739,,158911,,176801,,192257,,205218,,214954,,221587,21352,107820,4.5,
